"","adapt.1","adapt.2","adapt.3","adapt.4"
"173",0.416,0.458,0.44,0.442
"174",0.418,0.462,0.442,0.44
"175",0.416,0.472,0.444,0.438
"176",0.418,0.48,0.452,0.436
"177",0.424,0.486,0.446,0.436
"178",0.424,0.488,0.446,0.44
"179",0.43,0.49,0.448,0.444
"180",0.432,0.486,0.452,0.448
"181",0.438,0.488,0.454,0.448
"182",0.44,0.492,0.458,0.456
"183",0.442,0.492,0.464,0.462
"184",0.444,0.494,0.466,0.464
"185",0.446,0.494,0.462,0.468
"186",0.448,0.492,0.462,0.474
"187",0.45,0.494,0.462,0.474
"188",0.452,0.498,0.47,0.48
"189",0.454,0.496,0.466,0.48
"190",0.456,0.498,0.47,0.482
"191",0.458,0.498,0.47,0.484
"192",0.458,0.502,0.474,0.49
"193",0.458,0.502,0.482,0.488
"194",0.46,0.496,0.482,0.492
"195",0.46,0.502,0.488,0.5
"196",0.464,0.502,0.488,0.5
"197",0.466,0.504,0.488,0.496
"198",0.47,0.502,0.496,0.496
