"","zero.1","zero.2","zero.3","zero.4"
"144",0.27354,0.27382,0.2703,0.2744
"145",0.27524,0.27642,0.27282,0.27708
"146",0.27706,0.27918,0.27558,0.27904
"147",0.28008,0.2819,0.27888,0.28148
"148",0.28294,0.28436,0.28126,0.28382
"149",0.28502,0.28678,0.28394,0.2864
"150",0.28686,0.28914,0.28658,0.289
"151",0.28924,0.29208,0.28878,0.29124
"152",0.29186,0.29536,0.29124,0.294
"153",0.29434,0.29804,0.29428,0.2964
"154",0.29728,0.30052,0.29702,0.29916
"155",0.29992,0.30258,0.29902,0.30228
"156",0.3027,0.30558,0.30102,0.30474
"157",0.30528,0.30804,0.30334,0.30712
"158",0.30786,0.31126,0.30546,0.3097
"159",0.30976,0.31374,0.30724,0.31224
"160",0.31226,0.3167,0.31002,0.31472
"161",0.31526,0.31856,0.31278,0.3165
"162",0.31738,0.32076,0.31532,0.31896
"163",0.3201,0.32324,0.3174,0.32182
"164",0.32264,0.32534,0.31918,0.3236
"165",0.32478,0.32766,0.32182,0.3253
"166",0.32728,0.32994,0.32446,0.32746
"167",0.32958,0.33266,0.3267,0.32968
"168",0.33142,0.33518,0.3288,0.3327
"169",0.33338,0.33728,0.33114,0.33448
"170",0.33498,0.33958,0.33306,0.33558
"171",0.33718,0.34194,0.33524,0.33754
"172",0.33906,0.34422,0.33764,0.33992
"173",0.34132,0.34616,0.33934,0.34222
"174",0.3426,0.34768,0.34116,0.34392
"175",0.34496,0.34982,0.34296,0.34544
"176",0.34722,0.35142,0.34394,0.34688
"177",0.34846,0.35328,0.3458,0.3482
"178",0.34992,0.35474,0.34784,0.35016
"179",0.35108,0.35614,0.34916,0.35202
"180",0.35282,0.35734,0.3507,0.35336
"181",0.35434,0.35886,0.35152,0.35526
"182",0.35618,0.35998,0.35308,0.35688
"183",0.35774,0.36132,0.35512,0.35828
"184",0.35968,0.36224,0.3566,0.36004
"185",0.3612,0.3634,0.35804,0.3616
"186",0.36198,0.36436,0.35896,0.36364
"187",0.36362,0.3661,0.36026,0.36534
"188",0.36522,0.3673,0.36146,0.36666
"189",0.36622,0.36864,0.363,0.36748
"190",0.3678,0.3699,0.3643,0.36858
"191",0.36948,0.37136,0.36524,0.37
"192",0.37042,0.37278,0.36616,0.37146
"193",0.3716,0.37424,0.36754,0.37254
"194",0.37248,0.3752,0.36872,0.37334
"195",0.37338,0.37684,0.36998,0.37406
"196",0.3746,0.37802,0.37158,0.37512
"197",0.37518,0.37854,0.37288,0.37616
"198",0.37626,0.37978,0.37342,0.37752
