"","over.1","over.2","over.3","over.4"
"172",0.566,0.604,0.586,0.576
"173",0.566,0.606,0.588,0.576
"174",0.568,0.608,0.59,0.578
"175",0.572,0.608,0.592,0.582
"176",0.574,0.608,0.598,0.584
"177",0.578,0.61,0.602,0.586
"178",0.578,0.61,0.61,0.59
"179",0.58,0.608,0.61,0.594
"180",0.586,0.614,0.614,0.598
"181",0.584,0.62,0.618,0.604
"182",0.588,0.628,0.618,0.604
"183",0.592,0.63,0.62,0.602
"184",0.594,0.64,0.622,0.604
"185",0.598,0.644,0.624,0.606
"186",0.598,0.648,0.624,0.61
"187",0.6,0.65,0.626,0.612
"188",0.606,0.652,0.63,0.614
"189",0.614,0.656,0.632,0.614
"190",0.614,0.66,0.632,0.612
"191",0.616,0.664,0.632,0.616
"192",0.616,0.664,0.632,0.622
"193",0.618,0.666,0.634,0.622
"194",0.624,0.672,0.638,0.622
"195",0.63,0.672,0.638,0.622
"196",0.632,0.674,0.638,0.626
"197",0.634,0.674,0.64,0.628
"198",0.636,0.674,0.642,0.63
