"lug_type","cv","rule","rate","big_T","rho","model","num_sims"
"mother","fixed","ft",0.07,500,0,"AR1_HET",1000
"mother","fixed","opt",0.067,500,0,"AR1_HET",1000
"zero","fixed","mse",0.066,500,0,"AR1_HET",1000
"zero","fixed","ft",0.07,500,0,"AR1_HET",1000
"zero","fixed","opt",0.067,500,0,"AR1_HET",1000
"mother","small","mse",0.066,500,0,"AR1_HET",1000
"mother","small","ft",0.07,500,0,"AR1_HET",1000
"mother","small","opt",0.067,500,0,"AR1_HET",1000
"zero","small","mse",0.066,500,0,"AR1_HET",1000
"zero","small","ft",0.072,500,0,"AR1_HET",1000
"zero","small","opt",0.067,500,0,"AR1_HET",1000
"mother","fixed","mse",0.054,500,0,"ARMA_G",1000
"mother","fixed","ft",0.056,500,0,"ARMA_G",1000
"mother","fixed","opt",0.057,500,0,"ARMA_G",1000
"zero","fixed","mse",0.049,500,0,"ARMA_G",1000
"zero","fixed","ft",0.051,500,0,"ARMA_G",1000
"zero","fixed","opt",0.056,500,0,"ARMA_G",1000
"mother","small","mse",0.054,500,0,"ARMA_G",1000
"mother","small","ft",0.057,500,0,"ARMA_G",1000
"mother","small","opt",0.057,500,0,"ARMA_G",1000
"zero","small","mse",0.05,500,0,"ARMA_G",1000
"zero","small","ft",0.056,500,0,"ARMA_G",1000
"zero","small","opt",0.057,500,0,"ARMA_G",1000
"mother","fixed","mse",0.079,500,0,"ARMA_L",1000
"mother","fixed","ft",0.08,500,0,"ARMA_L",1000
"mother","fixed","opt",0.082,500,0,"ARMA_L",1000
"zero","fixed","mse",0.076,500,0,"ARMA_L",1000
"zero","fixed","ft",0.078,500,0,"ARMA_L",1000
"zero","fixed","opt",0.081,500,0,"ARMA_L",1000
"mother","small","mse",0.079,500,0,"ARMA_L",1000
"mother","small","ft",0.08,500,0,"ARMA_L",1000
"mother","small","opt",0.082,500,0,"ARMA_L",1000
"zero","small","mse",0.077,500,0,"ARMA_L",1000
"zero","small","ft",0.079,500,0,"ARMA_L",1000
"zero","small","opt",0.082,500,0,"ARMA_L",1000
"mother","fixed","mse",0.107,1000,0.9,"AR1_HOMO",1000
"mother","fixed","ft",0.128,1000,0.9,"AR1_HOMO",1000
"mother","fixed","opt",0.117,1000,0.9,"AR1_HOMO",1000
"zero","fixed","mse",0.085,1000,0.9,"AR1_HOMO",1000
"zero","fixed","ft",0.096,1000,0.9,"AR1_HOMO",1000
"zero","fixed","opt",0.089,1000,0.9,"AR1_HOMO",1000
"mother","small","mse",0.116,1000,0.9,"AR1_HOMO",1000
"mother","small","ft",0.131,1000,0.9,"AR1_HOMO",1000
"mother","small","opt",0.121,1000,0.9,"AR1_HOMO",1000
"zero","small","mse",0.098,1000,0.9,"AR1_HOMO",1000
"zero","small","ft",0.104,1000,0.9,"AR1_HOMO",1000
"zero","small","opt",0.099,1000,0.9,"AR1_HOMO",1000
"mother","fixed","mse",0.091,1000,0.9,"AR1_HET",1000
"mother","fixed","ft",0.123,1000,0.9,"AR1_HET",1000
"mother","fixed","opt",0.108,1000,0.9,"AR1_HET",1000
"zero","fixed","mse",0.065,1000,0.9,"AR1_HET",1000
"zero","fixed","ft",0.082,1000,0.9,"AR1_HET",1000
"zero","fixed","opt",0.072,1000,0.9,"AR1_HET",1000
"mother","small","mse",0.101,1000,0.9,"AR1_HET",1000
"mother","small","ft",0.124,1000,0.9,"AR1_HET",1000
"mother","small","opt",0.111,1000,0.9,"AR1_HET",1000
"zero","small","mse",0.083,1000,0.9,"AR1_HET",1000
"zero","small","ft",0.09,1000,0.9,"AR1_HET",1000
"zero","small","opt",0.088,1000,0.9,"AR1_HET",1000
"mother","fixed","mse",0.105,1000,0.9,"ARMA_G",1000
"mother","fixed","ft",0.141,1000,0.9,"ARMA_G",1000
"mother","fixed","opt",0.119,1000,0.9,"ARMA_G",1000
"zero","fixed","mse",0.082,1000,0.9,"ARMA_G",1000
"zero","fixed","ft",0.091,1000,0.9,"ARMA_G",1000
"zero","fixed","opt",0.082,1000,0.9,"ARMA_G",1000
"mother","small","mse",0.121,1000,0.9,"ARMA_G",1000
"mother","small","ft",0.144,1000,0.9,"ARMA_G",1000
"mother","small","opt",0.128,1000,0.9,"ARMA_G",1000
"zero","small","mse",0.109,1000,0.9,"ARMA_G",1000
"zero","small","ft",0.097,1000,0.9,"ARMA_G",1000
"zero","small","opt",0.095,1000,0.9,"ARMA_G",1000
"mother","fixed","mse",0.082,1000,0.9,"ARMA_L",1000
"mother","fixed","ft",0.108,1000,0.9,"ARMA_L",1000
"mother","fixed","opt",0.09,1000,0.9,"ARMA_L",1000
"zero","fixed","mse",0.066,1000,0.9,"ARMA_L",1000
"zero","fixed","ft",0.072,1000,0.9,"ARMA_L",1000
"zero","fixed","opt",0.065,1000,0.9,"ARMA_L",1000
"mother","small","mse",0.092,1000,0.9,"ARMA_L",1000
"mother","small","ft",0.11,1000,0.9,"ARMA_L",1000
"mother","small","opt",0.098,1000,0.9,"ARMA_L",1000
"zero","small","mse",0.079,1000,0.9,"ARMA_L",1000
"zero","small","ft",0.079,1000,0.9,"ARMA_L",1000
"zero","small","opt",0.079,1000,0.9,"ARMA_L",1000
"mother","fixed","mse",0.066,1000,0.75,"AR1_HOMO",1000
"mother","fixed","ft",0.111,1000,0.75,"AR1_HOMO",1000
"mother","fixed","opt",0.085,1000,0.75,"AR1_HOMO",1000
"zero","fixed","mse",0.052,1000,0.75,"AR1_HOMO",1000
"zero","fixed","ft",0.072,1000,0.75,"AR1_HOMO",1000
"zero","fixed","opt",0.061,1000,0.75,"AR1_HOMO",1000
"mother","small","mse",0.072,1000,0.75,"AR1_HOMO",1000
"mother","small","ft",0.112,1000,0.75,"AR1_HOMO",1000
"mother","small","opt",0.085,1000,0.75,"AR1_HOMO",1000
"zero","small","mse",0.057,1000,0.75,"AR1_HOMO",1000
"zero","small","ft",0.077,1000,0.75,"AR1_HOMO",1000
"zero","small","opt",0.063,1000,0.75,"AR1_HOMO",1000
"mother","fixed","mse",0.079,1000,0.75,"AR1_HET",1000
"mother","fixed","ft",0.126,1000,0.75,"AR1_HET",1000
"mother","fixed","opt",0.097,1000,0.75,"AR1_HET",1000
"zero","fixed","mse",0.069,1000,0.75,"AR1_HET",1000
"zero","fixed","ft",0.082,1000,0.75,"AR1_HET",1000
"zero","fixed","opt",0.071,1000,0.75,"AR1_HET",1000
"mother","small","mse",0.085,1000,0.75,"AR1_HET",1000
"mother","small","ft",0.127,1000,0.75,"AR1_HET",1000
"mother","small","opt",0.099,1000,0.75,"AR1_HET",1000
"zero","small","mse",0.076,1000,0.75,"AR1_HET",1000
"zero","small","ft",0.083,1000,0.75,"AR1_HET",1000
"zero","small","opt",0.073,1000,0.75,"AR1_HET",1000
"mother","fixed","mse",0.066,1000,0.75,"ARMA_G",1000
"mother","fixed","ft",0.106,1000,0.75,"ARMA_G",1000
"mother","fixed","opt",0.078,1000,0.75,"ARMA_G",1000
"zero","fixed","mse",0.054,1000,0.75,"ARMA_G",1000
"zero","fixed","ft",0.071,1000,0.75,"ARMA_G",1000
"zero","fixed","opt",0.061,1000,0.75,"ARMA_G",1000
"mother","small","mse",0.069,1000,0.75,"ARMA_G",1000
"mother","small","ft",0.106,1000,0.75,"ARMA_G",1000
"mother","small","opt",0.082,1000,0.75,"ARMA_G",1000
"zero","small","mse",0.06,1000,0.75,"ARMA_G",1000
"zero","small","ft",0.072,1000,0.75,"ARMA_G",1000
"zero","small","opt",0.061,1000,0.75,"ARMA_G",1000
"mother","fixed","mse",0.078,1000,0.75,"ARMA_L",1000
"mother","fixed","ft",0.112,1000,0.75,"ARMA_L",1000
"mother","fixed","opt",0.088,1000,0.75,"ARMA_L",1000
"zero","fixed","mse",0.064,1000,0.75,"ARMA_L",1000
"zero","fixed","ft",0.073,1000,0.75,"ARMA_L",1000
"zero","fixed","opt",0.066,1000,0.75,"ARMA_L",1000
"mother","small","mse",0.081,1000,0.75,"ARMA_L",1000
"mother","small","ft",0.114,1000,0.75,"ARMA_L",1000
"mother","small","opt",0.088,1000,0.75,"ARMA_L",1000
"zero","small","mse",0.069,1000,0.75,"ARMA_L",1000
"zero","small","ft",0.077,1000,0.75,"ARMA_L",1000
"zero","small","opt",0.072,1000,0.75,"ARMA_L",1000
"mother","fixed","mse",0.065,1000,0.5,"AR1_HOMO",1000
"mother","fixed","ft",0.094,1000,0.5,"AR1_HOMO",1000
"mother","fixed","opt",0.081,1000,0.5,"AR1_HOMO",1000
"zero","fixed","mse",0.057,1000,0.5,"AR1_HOMO",1000
"zero","fixed","ft",0.063,1000,0.5,"AR1_HOMO",1000
"zero","fixed","opt",0.06,1000,0.5,"AR1_HOMO",1000
"mother","small","mse",0.066,1000,0.5,"AR1_HOMO",1000
"mother","small","ft",0.094,1000,0.5,"AR1_HOMO",1000
"mother","small","opt",0.081,1000,0.5,"AR1_HOMO",1000
"zero","small","mse",0.058,1000,0.5,"AR1_HOMO",1000
"zero","small","ft",0.064,1000,0.5,"AR1_HOMO",1000
"zero","small","opt",0.061,1000,0.5,"AR1_HOMO",1000
"mother","fixed","mse",0.075,1000,0.5,"AR1_HET",1000
"mother","fixed","ft",0.102,1000,0.5,"AR1_HET",1000
"mother","fixed","opt",0.088,1000,0.5,"AR1_HET",1000
"zero","fixed","mse",0.066,1000,0.5,"AR1_HET",1000
"zero","fixed","ft",0.071,1000,0.5,"AR1_HET",1000
"zero","fixed","opt",0.068,1000,0.5,"AR1_HET",1000
"mother","small","mse",0.075,1000,0.5,"AR1_HET",1000
"mother","small","ft",0.103,1000,0.5,"AR1_HET",1000
"mother","small","opt",0.088,1000,0.5,"AR1_HET",1000
"zero","small","mse",0.071,1000,0.5,"AR1_HET",1000
"zero","small","ft",0.072,1000,0.5,"AR1_HET",1000
"zero","small","opt",0.068,1000,0.5,"AR1_HET",1000
"mother","fixed","mse",0.055,1000,0.5,"ARMA_G",1000
"mother","fixed","ft",0.086,1000,0.5,"ARMA_G",1000
"mother","fixed","opt",0.065,1000,0.5,"ARMA_G",1000
"zero","fixed","mse",0.044,1000,0.5,"ARMA_G",1000
"zero","fixed","ft",0.061,1000,0.5,"ARMA_G",1000
"zero","fixed","opt",0.049,1000,0.5,"ARMA_G",1000
"mother","small","mse",0.055,1000,0.5,"ARMA_G",1000
"mother","small","ft",0.086,1000,0.5,"ARMA_G",1000
"mother","small","opt",0.066,1000,0.5,"ARMA_G",1000
"zero","small","mse",0.054,1000,0.5,"ARMA_G",1000
"zero","small","ft",0.062,1000,0.5,"ARMA_G",1000
"zero","small","opt",0.05,1000,0.5,"ARMA_G",1000
"mother","fixed","mse",0.067,1000,0.5,"ARMA_L",1000
"mother","fixed","ft",0.099,1000,0.5,"ARMA_L",1000
"mother","fixed","opt",0.078,1000,0.5,"ARMA_L",1000
"zero","fixed","mse",0.053,1000,0.5,"ARMA_L",1000
"zero","fixed","ft",0.069,1000,0.5,"ARMA_L",1000
"zero","fixed","opt",0.059,1000,0.5,"ARMA_L",1000
"mother","small","mse",0.067,1000,0.5,"ARMA_L",1000
"mother","small","ft",0.099,1000,0.5,"ARMA_L",1000
"mother","small","opt",0.078,1000,0.5,"ARMA_L",1000
"zero","small","mse",0.06,1000,0.5,"ARMA_L",1000
"zero","small","ft",0.072,1000,0.5,"ARMA_L",1000
"zero","small","opt",0.06,1000,0.5,"ARMA_L",1000
"mother","fixed","mse",0.061,1000,0.25,"AR1_HOMO",1000
"mother","fixed","ft",0.066,1000,0.25,"AR1_HOMO",1000
"mother","fixed","opt",0.073,1000,0.25,"AR1_HOMO",1000
"zero","fixed","mse",0.057,1000,0.25,"AR1_HOMO",1000
"zero","fixed","ft",0.058,1000,0.25,"AR1_HOMO",1000
"zero","fixed","opt",0.069,1000,0.25,"AR1_HOMO",1000
"mother","small","mse",0.061,1000,0.25,"AR1_HOMO",1000
"mother","small","ft",0.066,1000,0.25,"AR1_HOMO",1000
"mother","small","opt",0.073,1000,0.25,"AR1_HOMO",1000
"zero","small","mse",0.058,1000,0.25,"AR1_HOMO",1000
"zero","small","ft",0.06,1000,0.25,"AR1_HOMO",1000
"zero","small","opt",0.069,1000,0.25,"AR1_HOMO",1000
"mother","fixed","mse",0.065,1000,0.25,"AR1_HET",1000
"mother","fixed","ft",0.067,1000,0.25,"AR1_HET",1000
"mother","fixed","opt",0.073,1000,0.25,"AR1_HET",1000
"zero","fixed","mse",0.062,1000,0.25,"AR1_HET",1000
"zero","fixed","ft",0.061,1000,0.25,"AR1_HET",1000
"zero","fixed","opt",0.072,1000,0.25,"AR1_HET",1000
"mother","small","mse",0.065,1000,0.25,"AR1_HET",1000
"mother","small","ft",0.067,1000,0.25,"AR1_HET",1000
"mother","small","opt",0.073,1000,0.25,"AR1_HET",1000
"zero","small","mse",0.063,1000,0.25,"AR1_HET",1000
"zero","small","ft",0.062,1000,0.25,"AR1_HET",1000
"zero","small","opt",0.073,1000,0.25,"AR1_HET",1000
"mother","fixed","mse",0.044,1000,0.25,"ARMA_G",1000
"mother","fixed","ft",0.046,1000,0.25,"ARMA_G",1000
"mother","fixed","opt",0.054,1000,0.25,"ARMA_G",1000
"zero","fixed","mse",0.039,1000,0.25,"ARMA_G",1000
"zero","fixed","ft",0.037,1000,0.25,"ARMA_G",1000
"zero","fixed","opt",0.048,1000,0.25,"ARMA_G",1000
"mother","small","mse",0.044,1000,0.25,"ARMA_G",1000
"mother","small","ft",0.046,1000,0.25,"ARMA_G",1000
"mother","small","opt",0.055,1000,0.25,"ARMA_G",1000
"zero","small","mse",0.039,1000,0.25,"ARMA_G",1000
"zero","small","ft",0.039,1000,0.25,"ARMA_G",1000
"zero","small","opt",0.048,1000,0.25,"ARMA_G",1000
"mother","fixed","mse",0.06,1000,0.25,"ARMA_L",1000
"mother","fixed","ft",0.067,1000,0.25,"ARMA_L",1000
"mother","fixed","opt",0.077,1000,0.25,"ARMA_L",1000
"zero","fixed","mse",0.052,1000,0.25,"ARMA_L",1000
"zero","fixed","ft",0.053,1000,0.25,"ARMA_L",1000
"zero","fixed","opt",0.066,1000,0.25,"ARMA_L",1000
"mother","small","mse",0.06,1000,0.25,"ARMA_L",1000
"mother","small","ft",0.067,1000,0.25,"ARMA_L",1000
"mother","small","opt",0.077,1000,0.25,"ARMA_L",1000
"zero","small","mse",0.054,1000,0.25,"ARMA_L",1000
"zero","small","ft",0.054,1000,0.25,"ARMA_L",1000
"zero","small","opt",0.067,1000,0.25,"ARMA_L",1000
"mother","fixed","mse",0.035,1000,0,"AR1_HOMO",1000
"mother","fixed","ft",0.036,1000,0,"AR1_HOMO",1000
"mother","fixed","opt",0.035,1000,0,"AR1_HOMO",1000
"zero","fixed","mse",0.035,1000,0,"AR1_HOMO",1000
"zero","fixed","ft",0.037,1000,0,"AR1_HOMO",1000
"zero","fixed","opt",0.035,1000,0,"AR1_HOMO",1000
"mother","small","mse",0.035,1000,0,"AR1_HOMO",1000
"mother","small","ft",0.036,1000,0,"AR1_HOMO",1000
"mother","small","opt",0.035,1000,0,"AR1_HOMO",1000
"zero","small","mse",0.035,1000,0,"AR1_HOMO",1000
"zero","small","ft",0.038,1000,0,"AR1_HOMO",1000
"zero","small","opt",0.035,1000,0,"AR1_HOMO",1000
"mother","fixed","mse",0.049,1000,0,"AR1_HET",1000
"mother","fixed","ft",0.05,1000,0,"AR1_HET",1000
"mother","fixed","opt",0.051,1000,0,"AR1_HET",1000
"zero","fixed","mse",0.046,1000,0,"AR1_HET",1000
"zero","fixed","ft",0.046,1000,0,"AR1_HET",1000
"zero","fixed","opt",0.047,1000,0,"AR1_HET",1000
"mother","small","mse",0.049,1000,0,"AR1_HET",1000
"mother","small","ft",0.05,1000,0,"AR1_HET",1000
"mother","small","opt",0.051,1000,0,"AR1_HET",1000
"zero","small","mse",0.049,1000,0,"AR1_HET",1000
"zero","small","ft",0.05,1000,0,"AR1_HET",1000
"zero","small","opt",0.051,1000,0,"AR1_HET",1000
"mother","fixed","mse",0.05,1000,0,"ARMA_G",1000
"mother","fixed","ft",0.052,1000,0,"ARMA_G",1000
"mother","fixed","opt",0.051,1000,0,"ARMA_G",1000
"zero","fixed","mse",0.049,1000,0,"ARMA_G",1000
"zero","fixed","ft",0.057,1000,0,"ARMA_G",1000
"zero","fixed","opt",0.051,1000,0,"ARMA_G",1000
"mother","small","mse",0.05,1000,0,"ARMA_G",1000
"mother","small","ft",0.052,1000,0,"ARMA_G",1000
"mother","small","opt",0.051,1000,0,"ARMA_G",1000
"zero","small","mse",0.049,1000,0,"ARMA_G",1000
"zero","small","ft",0.057,1000,0,"ARMA_G",1000
"zero","small","opt",0.051,1000,0,"ARMA_G",1000
"mother","fixed","mse",0.053,1000,0,"ARMA_L",1000
"mother","fixed","ft",0.056,1000,0,"ARMA_L",1000
"mother","fixed","opt",0.055,1000,0,"ARMA_L",1000
"zero","fixed","mse",0.051,1000,0,"ARMA_L",1000
"zero","fixed","ft",0.057,1000,0,"ARMA_L",1000
"zero","fixed","opt",0.054,1000,0,"ARMA_L",1000
"mother","small","mse",0.053,1000,0,"ARMA_L",1000
"mother","small","ft",0.057,1000,0,"ARMA_L",1000
"mother","small","opt",0.055,1000,0,"ARMA_L",1000
"zero","small","mse",0.052,1000,0,"ARMA_L",1000
"zero","small","ft",0.058,1000,0,"ARMA_L",1000
"zero","small","opt",0.055,1000,0,"ARMA_L",1000
