"","2","3","4"
"0.005",0.00511563847771876,0.00389107919096075,0.00369951067112454
"0.01",0.00500071399511516,0.00405219112976047,0.0037247790301319
"0.015",0.00508379695788234,0.00427858356804994,0.00416182122689379
"0.02",0.00556367141767138,0.0048016443525115,0.00452069614356208
"0.025",0.00585727682537266,0.00568667098750101,0.00579784125370373
"0.03",0.00647859830708168,0.00650175618224722,0.00693792582229027
"0.035",0.00702303138818638,0.0111936143698462,0.011786630675325
"0.04",0.00880689743638248,0.0153590815346541,17828.1756447493
"0.045",0.0107861965843644,18.2957194140295,13590.5679352611
"0.05",0.0119170419979918,15395.2493198644,41971.4699344605
"0.055",0.0202805698747156,20792.0076491992,40071.2990658782
"0.06",0.0221634252697508,37650.5181127544,56790.0297436133
"0.065",396.827120662159,66835.4610182261,71407.9545725764
"0.07",0.0462923887462887,41186.7949569331,69401.8427529866
"0.075",34472.3305360144,61926.1565779791,67348.9174938651
"0.08",21458.5820825105,71173.1728683243,66653.4358271109
"0.085",43015.0681514716,90233.1904958986,87937.5754506153
"0.09",44540.8765520891,96399.9972912416,77112.6089104186
"0.095",46310.8402151765,112029.082559011,70859.6852041918
"0.1",40268.3731622993,126697.912970882,70388.1029408525
"0.105",52404.7420525716,127981.419080181,71512.9763500325
"0.11",56029.2231025204,92715.0518206991,78829.0239828959
"0.115",59335.6195518388,102992.405355968,80077.4676457001
"0.12",58015.9642494772,132726.077260542,75782.881807124
"0.125",91226.4533887167,152786.659823462,80828.8125375882
"0.13",94101.4479898881,129161.196559393,90873.4715066561
"0.135",74091.8723397701,155861.628423152,82378.3170065925
"0.14",91603.0681784515,156419.091541627,84355.5967577122
"0.145",106796.065733128,162021.913157479,87832.8638833954
"0.15",142643.819915892,136628.117653605,78655.9110279046
"0.155",181843.995026668,134615.0305385,92044.4605587845
"0.16",182774.59333101,134329.253711813,96328.5263094398
"0.165",195817.620145364,156794.940895789,96593.7867564351
"0.17",156938.051444555,137550.366193106,92884.4052973338
"0.175",174899.171203909,138207.699808418,91739.3490428777
"0.18",187335.757413641,136392.927896486,91095.896343423
"0.185",204334.043390212,185476.027329573,89361.7847234895
"0.19",161934.115228707,184180.846026241,85793.6535661718
"0.195",170795.589447976,179823.957706322,84019.8613127612
"0.2",204917.398413153,124140.46999044,82737.4078820989
"0.205",208312.614679264,133988.571004874,84144.9819922283
"0.21",217973.756360574,160387.885517836,91134.8165962094
"0.215",223845.990884824,168699.165140199,90349.3193860544
"0.22",228711.255253586,164403.482916514,96574.486788505
"0.225",218323.030087314,158843.498200447,98766.6285573669
"0.23",209586.349419269,154294.472166185,120253.684049319
"0.235",206926.909727725,163707.414368613,117918.994358215
"0.24",210869.903956706,161284.54549129,118088.654478465
"0.245",240198.809820563,156655.130563027,97061.1802917679
"0.25",265964.487698245,148897.469701221,117306.338551181
"0.255",297665.828083165,152324.416357782,157284.843750292
"0.26",247183.281045288,223514.35246775,157427.837195561
"0.265",224373.975955267,177331.597170047,160431.240038866
"0.27",226565.131157393,191507.933870244,163799.451588701
"0.275",233993.576223632,197708.05383047,166064.816710375
"0.28",236478.666075251,193934.251660642,188981.890972696
"0.285",246857.629182268,189634.975028913,192397.236135759
"0.29",271001.260115109,185147.913050666,209169.160637353
"0.295",274834.032828821,184807.624542131,206691.438456967
"0.3",258918.513532137,175123.248653445,175012.141243224
"0.305",281321.940422038,172945.755344069,176205.12756336
"0.31",296774.420780346,177016.658188642,176411.993891324
"0.315",285351.927108042,186390.884602278,204018.827968777
"0.32",279549.921607968,217128.641582383,204828.876833123
"0.325",288933.369166946,234240.49887921,183326.754622532
"0.33",401289.569943314,261331.192114495,187562.143540665
"0.335",358332.820479283,274544.66436216,178109.046624911
"0.34",370771.057771132,276103.108011212,175106.521680326
"0.345",347235.813840783,278292.715719419,171804.527545147
"0.35",447911.684367948,280832.586844768,169720.363792909
"0.355",476077.195179259,282991.415267247,163032.524541392
"0.36",355173.298360266,285699.161065309,158445.702415225
"0.365",283448.282845807,275742.05583452,154092.055123092
"0.37",294451.595311698,276773.122403399,148430.474870435
"0.375",293883.836155072,206177.936792948,151676.691514071
"0.38",279692.365533154,253199.381776365,153359.398642356
"0.385",285140.189242453,258115.794075895,156608.992281346
