"intercept","beta1","beta2","beta3","adj.r.sq","d","kernel","lugsail","alpha"
"3.0172544938778","-22.72016477745","45.9382286111794","-27.0032476239419","0.937359896587462","5","Bartlett","Mother","0.01"
"2.32092511589544","-17.47840345344","35.3319201877977","-20.7695490158656","0.937445247725757","10","Bartlett","Mother","0.01"
"2.56650039880601","-19.3159798132889","39.0747572332138","-22.9692209645107","0.937127320223793","5","Bartlett","Mother","0.025"
"2.04831773508074","-15.4198954832491","31.1812076772113","-18.3299526551061","0.937288236514436","10","Bartlett","Mother","0.025"
"2.21409953870327","-16.6561974060743","33.7088162679112","-19.8153013000359","0.936925268332266","5","Bartlett","Mother","0.05"
"1.83070380532751","-13.7778550754492","27.867947401358","-16.3825277682989","0.937169564687752","10","Bartlett","Mother","0.05"
"1.84727137995622","-13.8904485472888","28.1230867767189","-16.5320687784656","0.936733827474033","5","Bartlett","Mother","0.1"
"1.59871791721053","-12.0295233496632","24.3360895278311","-14.3065393504577","0.937090863601096","10","Bartlett","Mother","0.1"
"3.0172544938778","-23.103731131381","47.1063660783638","-27.7464540521697","0.912120233323594","5","Bartlett","Zero","0.01"
"2.32092511589544","-18.165860108312","38.2331923070069","-23.0869013598626","0.904293567156715","10","Bartlett","Zero","0.01"
"2.56650039880601","-19.6895682453994","40.2103201597403","-23.6916202051521","0.904217029113734","5","Bartlett","Zero","0.025"
"2.04831773508074","-16.0892660430501","34.0014449066249","-20.5818127483769","0.897193959666724","10","Bartlett","Zero","0.025"
"2.21409953870327","-17.0131559684841","34.7900882933414","-20.5030218946998","0.897214401829298","5","Bartlett","Zero","0.05"
"1.83070380532751","-14.4170821434654","30.5531264811124","-18.5252341103593","0.892120075080218","10","Bartlett","Zero","0.05"
"1.84727137995622","-14.214147370297","29.0957769999563","-17.1504320811747","0.891740909026377","5","Bartlett","Zero","0.1"
"1.59871791721053","-12.6084634341096","26.7511523082671","-16.2309381900974","0.890535209260631","10","Bartlett","Zero","0.1"
"3.0172544938778","-22.8343025190732","46.1938774174702","-27.2037175063203","0.938891527413106","5","Bartlett","Adapt","0.01"
"2.32092511589544","-17.5787936404923","35.9002716441397","-21.3192242830077","0.935436814322332","10","Bartlett","Adapt","0.01"
"2.56650039880601","-19.4280940692157","39.3261322034467","-23.1663066406137","0.938879966828214","5","Bartlett","Adapt","0.025"
"2.04831773508074","-15.5186687468453","31.7350656145397","-18.8645366674744","0.934809457864886","10","Bartlett","Adapt","0.025"
"2.21409953870327","-16.7649391858407","33.9530681780479","-20.0067466323466","0.9388782405926","5","Bartlett","Adapt","0.05"
"1.83070380532751","-13.8739334666188","28.3976494736638","-16.8919596893776","0.934372872795438","10","Bartlett","Adapt","0.05"
"1.84727137995622","-13.9924453747342","28.3530925666628","-16.7122334231918","0.938905273428372","5","Bartlett","Adapt","0.1"
"1.59871791721053","-12.1202119959793","24.8174798700917","-14.7656670889571","0.934272132265725","10","Bartlett","Adapt","0.1"
"3.0172544938778","-22.2286444563851","43.6528534771758","-24.9074381000418","0.931177355201428","5","Bartlett","Over","0.01"
"2.32092511589544","-17.2803608860393","34.7054390142196","-20.332416643786","0.934317852228237","10","Bartlett","Over","0.01"
"2.56650039880601","-18.840632002756","36.8614431390168","-20.9392039109178","0.929471918222041","5","Bartlett","Over","0.025"
"2.04831773508074","-15.2286497132257","30.5745170807751","-17.9062209966796","0.93365571217402","10","Bartlett","Over","0.025"
"2.21409953870327","-16.2078037797616","31.6156039067253","-17.8949383636218","0.927992745025512","5","Bartlett","Over","0.05"
"1.83070380532751","-13.5979373010546","27.2942411001582","-15.9811306326275","0.933195192945936","10","Bartlett","Over","0.05"
"1.84727137995622","-13.4959632894162","26.270077881555","-14.8310140764091","0.926841908231968","5","Bartlett","Over","0.1"
"1.59871791721053","-11.8722615665262","23.8283518171044","-13.9498112602965","0.933060087606488","10","Bartlett","Over","0.1"
