"","2","3","4"
"0.665",405262.028985703,274543.42343365,183782.938941319
"0.67",418818.28003236,279086.900478018,183194.654089562
"0.675",416737.447044496,282086.539313398,184136.577259829
"0.68",421664.99134954,283693.453046428,185517.738171246
"0.685",424628.956583868,285360.36779068,186599.05814287
"0.69",437909.472394579,286418.779059932,187097.547145292
"0.695",441579.430658044,287897.968942535,189913.853522627
"0.7",446390.827848265,290905.150207367,192169.592008109
"0.705",448906.363096301,295105.303274192,194144.617490989
"0.71",446618.452630718,295904.390016846,195740.702304317
"0.715",443222.172516333,296463.418093467,195876.996674212
"0.72",445199.141868576,297453.015828141,198693.14075943
"0.725",455565.059449596,300712.195923656,200001.430010856
"0.73",455883.360807317,303289.085467467,201908.29370724
"0.735",463133.853042109,306412.540220181,203216.864228264
"0.74",465234.736682425,307510.337171838,204509.168629384
"0.745",467838.545132672,307415.544207498,205213.271062366
"0.75",469934.60421858,311077.612068008,206637.47702968
"0.755",473674.187421379,312156.026404131,208574.139248349
"0.76",478517.075238364,317723.12500152,210883.535433857
"0.765",486419.986196282,318721.495651229,211379.184812516
"0.77",485618.842835233,320363.022519999,213590.960329614
"0.775",491967.564406054,325193.73353034,216475.128961406
"0.78",496023.781343554,324947.575257175,218205.263710871
"0.785",499664.48117167,327266.687717912,218671.82332583
"0.79",505351.888646615,331056.002708488,221035.754943424
"0.795",511239.780337965,334513.178897534,223702.172903197
"0.8",519032.607590064,337358.41657867,226265.924568841
"0.805",524611.425247259,341135.48386817,227916.087491877
"0.81",526222.628969951,343908.248656803,228227.10581393
"0.815",527178.743152538,344891.965265827,229805.584612346
"0.82",524793.999091074,350446.652886052,232600.53639094
"0.825",526482.055285667,351073.819831567,234799.579974811
"0.83",529781.811122647,353784.430205727,237014.305950501
"0.835",534945.960823186,356601.457431554,239871.026596903
"0.84",542575.931869845,355470.805988965,240504.963612881
"0.845",544665.037805338,358759.289130171,241027.777133686
"0.85",538900.337393445,357689.333027898,241595.529229103
"0.855",543963.402500826,357904.038202957,243067.901078673
"0.86",549479.233503675,361406.586354915,244293.11379338
"0.865",548066.250552655,364630.558773373,248026.294979234
"0.87",551928.975668052,367365.228705893,250545.196931779
"0.875",561179.568349357,373423.899871255,252635.459434861
"0.88",565791.415217338,376241.933114705,252813.42710196
"0.885",575787.622122781,382532.754054875,254902.742522339
"0.89",578342.852720084,382711.93052817,258468.083697845
"0.895",573589.975096442,380405.964501702,262079.522802497
"0.9",581953.078401055,384051.479618365,265975.684399886
"0.905",584211.398302634,388210.91166061,268183.306622318
"0.91",590230.720471376,391436.75313384,269073.658101639
"0.915",596494.591894186,395155.761845333,271581.307397945
"0.92",594531.050470833,399824.873043181,271493.457140404
"0.925",597880.538327369,401020.488991275,274520.371516036
"0.93",603293.025015278,402107.111606918,276604.707148454
"0.935",603779.007609561,404166.363422123,279375.359657669
"0.94",606137.935386664,407476.872598839,280268.356810548
"0.945",620848.494446016,414204.89734136,280810.01811359
"0.95",628976.549292996,418747.021639875,284319.827211305
"0.955",625437.094117336,423731.405622747,288866.656215624
"0.96",634340.125942975,425374.951904131,291726.256263244
"0.965",636711.945402266,429769.849682431,294179.561386503
"0.97",649031.854631131,433746.763723165,297034.345921887
"0.975",651069.359997479,437252.911288783,298945.464513074
"0.98",658902.319763619,439434.827748101,302425.479560528
"0.985",673803.1864182,444215.302349279,308985.980470438
"0.99",683304.484645207,449129.593523015,311554.931093301
