"","2","3","4"
"0.005",0.00367945063601438,0.00332317803235533,0.00299619182361726
"0.01",0.00398762269613856,0.0033217265314825,0.00313705367787851
"0.015",0.00425115833342951,0.00354900139329053,0.00350164063293779
"0.02",0.00413333420239818,0.00371352961344008,0.0038232540613502
"0.025",0.004399866782259,0.00424912642846288,0.00400287873341543
"0.03",0.00448272178628854,0.00450910564912752,0.00497168762431141
"0.035",0.00465238904773676,0.00536548994034482,0.00597466096201375
"0.04",0.00564507870741446,0.00589059822778413,0.00761623510617114
"0.045",0.00532144049356532,0.00830866334795002,0.0436121248890712
"0.05",0.00536854585284256,0.00872337600530276,3202.4563892187
"0.055",0.00655142327068673,0.0139737080594527,9952.97341429388
"0.06",0.00789384170517468,77.4030365567527,15231.5022390664
"0.065",0.00833191177327292,3013.98250210184,20023.1328391249
"0.07",0.0108160482727785,17130.3619077442,25795.5182486726
"0.075",0.0167061144656193,20631.4734932075,23580.5453335659
"0.08",0.0177957923870113,21684.3336767074,30110.6472751181
"0.085",0.0240835309441508,30398.9154359863,32591.5088174664
"0.09",0.0221543257866447,35670.8670823345,37050.6597290911
"0.095",4666.40840003407,43774.4572829753,42689.5258421987
"0.1",13347.407322091,43762.8214258027,46200.3661971805
"0.105",8084.08156537984,58901.4007902715,54213.6969642375
"0.11",7825.58580567606,62259.3004056862,51011.6092978487
"0.115",5082.22551651847,65599.6474426629,52344.838865581
"0.12",7375.06260479984,69308.5569043081,51833.3671463974
"0.125",7923.91203130228,68565.3388796127,49464.9805933117
"0.13",3585.31979901334,59734.5526758085,53532.9294272064
"0.135",12115.5930474226,67075.7798572821,51340.4808406881
"0.14",25189.462353938,74880.3059197516,51565.7673267319
"0.145",30218.1528145194,79988.0017797785,58157.4173279217
"0.15",43975.7425217283,84835.0451426491,57420.8180000308
"0.155",79857.9905044774,95982.4735233721,54919.60897887
"0.16",91583.181583284,92147.7612484043,55673.5590082221
"0.165",101592.620548747,90481.3686874188,59226.389523473
"0.17",84945.1797867026,88693.6469014167,60250.8039421706
"0.175",112189.875504143,88021.3525415084,64447.7370147859
"0.18",113038.080478041,78703.6340026798,66723.0926829338
"0.185",76563.2152977857,76077.804762607,60227.3925922927
"0.19",105265.151781835,74679.9019405691,64919.2501720119
"0.195",114100.433991354,81690.5985167661,63125.5472345006
"0.2",119230.924813719,99079.2526407165,70225.834856586
"0.205",119067.244497757,87674.3791088285,63590.2092895263
"0.21",114599.739784089,84048.7011756162,62795.3327998433
"0.215",119580.575526292,83208.3816189644,69840.1764456223
"0.22",125183.246386259,88997.5929850964,66542.5084880968
"0.225",125231.784498035,89527.7584539347,69176.6767026578
"0.23",123995.259269512,99557.4656331464,70460.7451196034
"0.235",132299.556980434,101325.374052626,74206.392472117
"0.24",124318.08068411,101490.722571419,76675.7540725179
"0.245",117970.314700981,103110.358951146,78446.3292055466
"0.25",117661.977024643,98877.659221416,80911.5224536413
"0.255",122195.508130119,111586.881527383,80162.1653058249
"0.26",131064.438002497,110871.438601799,77634.5609048049
