"","2","3","4"
"0.245",22907.0354428509,45112.1774882932,37356.2994310494
"0.25",24807.1740412227,44136.4528098263,40265.2195334039
"0.255",25887.5618297459,46977.0482721696,43541.8784743398
"0.26",26299.6535889871,47830.8329307161,39201.0558808303
"0.265",22111.1392588938,48138.9874777629,37585.3735338671
"0.27",23231.9156246964,51847.8546678184,42121.0627332294
"0.275",28285.3996256308,51650.9166987463,44488.565943816
"0.28",34569.5933279876,50908.4519661191,40828.3119958845
"0.285",32228.5671193061,46966.0754659286,42874.6443091814
"0.29",33379.6120528156,46939.2793347949,45264.469303407
"0.295",40098.3031984722,48085.4668032306,44639.8255185073
"0.3",36710.6761133947,49601.9412288508,43310.3263215572
"0.305",35585.4757739294,51710.9248212594,44578.6923395929
"0.31",32979.806977011,53012.7503983359,46675.3266840727
"0.315",34548.5573089552,54486.7892567239,47927.0083648804
"0.32",32566.7959744057,59287.7578663204,48486.2010020609
"0.325",32364.4116412329,61150.3181325879,48707.3138093278
"0.33",42835.3687943397,62669.8252851196,48707.095152427
"0.335",32274.5612566885,62824.4699800012,47329.0907337005
"0.34",52463.8193836216,62377.0855932536,48369.5702867443
"0.345",51869.0157145421,65205.4001739365,48123.4467103535
"0.35",48931.5555529394,65263.0663711321,47889.0708049053
"0.355",54031.0970232458,63404.0943934529,47285.9366404258
"0.36",61024.0789459208,61254.5254441433,47390.9913491205
"0.365",53862.5989971113,59980.5739011778,47305.0119568764
"0.37",47847.9388579877,56943.1262834296,48106.7484840191
"0.375",48368.9090663275,63060.9876247361,49083.9862778839
"0.38",47757.1915288543,62588.2601397725,49219.3754981083
"0.385",48973.3092952727,65350.6294674704,50219.0518202901
"0.39",47648.0829151567,62412.7877056909,50302.220161928
"0.395",47434.0282406961,60641.4315706358,49804.6092338452
"0.4",45435.671663508,61819.150105544,51218.7907681696
"0.405",42662.9785609485,62785.7146310876,48991.2579376432
"0.41",47119.3353837477,62232.7092770515,50593.9670052031
"0.415",47265.1465411585,59212.3867207379,51166.2716868547
"0.42",47359.5489579831,63996.0839514037,52472.4020646783
"0.425",49941.5104287781,63614.8744386696,52271.4306951314
"0.43",55549.6161155071,69365.8538250703,54293.7523391035
"0.435",57374.3244168997,73230.6713109631,56417.1020974351
"0.44",68834.7382146997,78639.8279731202,60336.3961185188
"0.445",62737.0240145407,71853.2282099915,57132.2077778544
"0.45",61556.9246426843,71009.820348706,57599.2639009005
"0.455",58468.8266804626,71013.3195463613,57836.0702539607
"0.46",62246.5741044254,72110.7563395629,58132.5764861779
"0.465",66197.2135322713,72072.1251514438,59156.108878121
"0.47",68025.3839253634,73882.4240040822,61962.23067699
"0.475",64816.2038997912,74682.1489274509,62816.0753069271
"0.48",68621.5815023158,79345.4944709229,65799.9077350138
"0.485",70101.2810011746,76516.5921720108,67472.4301614372
"0.49",77122.6189859961,79938.663468966,68228.7389153047
"0.495",73988.56616494,80534.6827723217,68565.3261797287
"0.5",68216.3325047141,88500.1887655583,68076.1520877162
"0.505",68102.5370495733,83259.2331205874,66604.9112459649
"0.51",70960.8393166949,87351.1027334242,68349.1380795333
"0.515",74309.6834514145,84487.7732223776,70834.3852623067
"0.52",81151.4614902643,81266.0082714539,71960.0687533388
"0.525",85588.9004616009,79060.3140361469,75793.8542135607
"0.53",81561.3618557314,81175.2723916309,76288.0184348433
"0.535",81377.4205720215,84059.5754663062,77620.2800681287
"0.54",79521.4697418036,92815.6161373712,74812.5251463598
"0.545",82370.2561180707,93052.0579675485,70578.8063208336
"0.55",82103.5868763481,101482.737305898,68706.5297953897
"0.555",80909.0788973637,101337.432903569,65775.9424772425
"0.56",80393.6331369573,97624.4768048212,67005.5425598598
"0.565",73746.4615138947,98205.9910053853,63099.175306581
"0.57",74091.8849749672,99991.5991754241,64284.4784332787
"0.575",68398.2626044984,96374.7195465975,65098.9415802398
"0.58",71729.7844860201,96110.5210324798,65848.6536502108
"0.585",78747.0221206931,96555.8157310667,70519.2273137717
"0.59",75303.9411061728,101780.636374612,70561.8735541297
"0.595",78645.4432295949,103007.285041853,75045.5730209325
"0.6",76195.9375415603,102585.883494233,76867.3566285068
"0.605",74535.1934944939,102277.103049886,73588.9088605071
"0.61",71345.4300093678,102099.022663902,72649.1958932133
"0.615",73701.3272447227,102466.357960401,69991.8515669918
"0.62",75488.7154729831,106456.137966559,71130.7225940243
"0.625",76055.1019920042,104754.988847033,72312.6274229873
"0.63",73055.1766428437,105761.726412669,73093.8238482936
"0.635",74245.3731753664,107626.68220615,74431.2575743066
"0.64",74510.2876516854,106472.325848394,75777.923747664
"0.645",76099.2520326086,106687.210736054,76869.5841877152
"0.65",69569.9884212345,98937.2765773685,78014.0843442652
"0.655",66901.0405094858,101281.951499009,77865.199269652
"0.66",68840.4206066544,101198.302717568,77520.8846458245
"0.665",71243.2390786305,104573.463650498,78960.6399393257
"0.67",70122.8338233887,106291.02528336,82714.0624553636
"0.675",70259.7146501309,107078.311830238,81825.284768384
"0.68",77388.8750489152,114777.910154756,82398.3597210291
"0.685",78055.0237972993,119448.058411629,82907.5337270947
"0.69",78973.1141418714,116640.558269772,83596.9540140516
"0.695",79145.1718771771,116843.078144566,83116.1893079168
"0.7",76133.6621650668,119146.522270948,83405.4835253093
"0.705",79474.8878467591,121298.570022344,82887.4647515727
"0.71",83557.1915355572,123832.750228013,86796.4662159987
"0.715",93463.2508611704,130173.647025124,91148.4644002988
"0.72",91089.3926554847,128215.101392733,87751.8585031316
"0.725",80419.0724801528,129810.793646062,88665.9150344598
"0.73",79589.4756693745,130440.381670577,89214.0891934685
"0.735",82383.4451307006,132631.652970989,89715.0875484763
"0.74",92022.9222673514,138191.179004628,90152.3868101854
"0.745",102724.604679885,141145.59085866,90526.7407201414
"0.75",96678.2865173382,140920.957689446,93709.0265347188
"0.755",98827.5101038707,140931.388856376,94130.9422903273
"0.76",104426.65448065,141578.224921844,100291.688156932
"0.765",93571.6982055891,137187.246157486,91969.8833082514
"0.77",90865.3189919817,134980.771936366,91204.4598967289
"0.775",83585.4487334873,134645.494251658,90074.7736488587
"0.78",86051.230372454,139590.2831832,96717.1264192321
"0.785",80197.2666328856,136939.956848062,98185.535326735
"0.79",82792.5126219001,135385.643492063,101133.452021468
"0.795",84166.3844096728,134639.522288257,104579.017088686
"0.8",81063.5170926887,132848.736017355,103520.363454062
"0.805",83320.4476103378,133298.914684873,99031.6025192955
"0.81",85740.7170462785,137022.352921317,99307.1465993417
"0.815",86576.364074136,136863.937717939,100201.848207919
"0.82",104146.25347391,142301.49007984,101577.902668235
"0.825",113493.686843117,140502.654359538,102648.523220312
"0.83",114113.066911854,140417.628797758,103177.223339697
"0.835",118199.562143391,143739.528538438,105091.052950581
"0.84",106206.585498487,143004.985032374,104367.902750369
"0.845",107856.061124267,144533.855106417,104208.156842564
"0.85",107900.966991266,147161.811350251,105667.999516714
