"","2","3","4"
"0.005",0.00377509206812084,0.00329894720539577,0.00298776810600454
"0.01",0.00402528738567215,0.00333804058556549,0.00316946401652699
"0.015",0.00437219947485672,0.00355070672400981,0.00370352482251306
"0.02",0.0042719284650009,0.003786210117403,0.00392305312062009
"0.025",0.00451551196705001,0.00429111382575564,0.00443157186577036
"0.03",0.00483015731474019,0.00503664713026894,0.00534241658120996
"0.035",0.0052045449500096,0.00600729597953486,0.00797943849008316
"0.04",0.00596501804186729,0.00839432018792139,0.0140183441900504
"0.045",0.00619114338394265,0.0107184463113843,2846.6092577455
"0.05",0.00691914742608608,0.0399993183939144,18256.169975532
"0.055",0.00864581109225719,3428.91486108331,18993.1325438318
"0.06",0.0110872733705108,10275.4268986184,26836.8136014949
"0.065",0.0118157530340667,27053.2694693096,33026.3833851698
"0.07",0.013488510813645,23171.576174051,36007.552089618
"0.075",0.0187136945875983,27372.5769645582,36289.7001730063
"0.08",0.0270343637518641,35854.1069680223,40751.0887676724
"0.085",8648.23882770391,44799.4989251195,50058.0103990167
"0.09",12472.0847663939,43958.8408990091,47294.6407773346
"0.095",14225.5952807709,47854.6628376926,50480.6366882947
"0.1",13394.3655398335,60693.6423842661,53983.411583244
"0.105",19121.977239791,61025.2228275974,57170.6559181612
"0.11",19990.625597094,63146.5246074358,57055.0176523171
"0.115",25798.6134474049,60683.3103560014,60284.2375624552
"0.12",34263.8295005195,62857.5966814729,55945.2099924105
"0.125",44755.6080216211,68149.5040674071,62400.6353076644
"0.13",45603.4977899425,68585.0717376056,65671.1754007789
"0.135",41874.9484918368,70997.741189326,60978.3195364546
"0.14",58487.2182078217,83536.58746699,60867.0292199149
"0.145",60218.9565669126,96666.1179847523,64156.4602302029
"0.15",75164.3560857999,84253.434218834,58827.6647587756
"0.155",86754.3768906653,83789.5727802855,63454.7037164655
"0.16",87160.7360121616,85745.6634911532,65214.5083548646
"0.165",115414.082489128,94565.8298476397,66692.9248193799
"0.17",106665.142673097,85600.7302073284,61530.0185945359
"0.175",111946.146993451,103787.71758085,61418.7146625533
"0.18",124186.13532411,102367.7783459,61059.9459383554
"0.185",118625.710630885,102828.686105093,62457.9260814866
"0.19",91824.1417553656,105248.115995862,63272.2372468316
"0.195",89163.458580508,100101.598201581,64755.4326061745
"0.2",115716.746104377,101858.009189556,65222.4996952677
"0.205",122116.042174981,103965.146257023,69827.7581243688
"0.21",130067.868595616,106224.763823695,70721.5272246565
"0.215",131613.817711045,110944.79074249,69205.3410602512
"0.22",132108.602197351,114309.152139547,70273.9213034568
"0.225",132984.787542574,115151.205824878,69834.9473942354
"0.23",130482.315834424,115671.356717225,71475.5905589334
"0.235",131230.367774071,123345.886567764,74385.6499943492
"0.24",133269.983207663,123527.350988909,78339.8384317828
"0.245",136150.216426347,125156.611347666,79526.6641233851
"0.25",144855.260520501,123898.266176527,80532.6936584567
"0.255",156214.551001328,112319.831304054,81046.2883371283
"0.26",136804.352127766,120619.501011305,80179.6973280848
"0.265",141498.04474826,118757.082237419,80891.1630466997
"0.27",167423.466477775,114811.332066693,81828.0880668856
"0.275",176507.892798149,118266.642475513,83018.6212826703
"0.28",174769.759010051,121697.633539038,83959.5858505445
"0.285",181057.235200234,127218.944435204,88742.0976005873
"0.29",215787.068685215,131020.303613309,97828.6605042942
"0.295",222016.042735677,139178.478533601,105112.687767128
"0.3",198852.392817249,134361.559609028,91881.7577285412
"0.305",203775.367896839,129029.238041239,92200.1712686231
"0.31",203813.119949905,127664.738030357,102866.390365732
"0.315",206603.993323491,130965.839960813,111015.792885397
"0.32",194859.681196348,136029.360132448,111402.065142932
"0.325",196179.343489656,133427.691764576,110967.088122109
"0.33",245562.20502235,141068.247115797,104512.989339716
"0.335",225673.425210327,141305.880047076,104017.265653362
"0.34",235241.003349037,152877.232998619,110678.434261545
"0.345",221093.934671811,150205.36133667,111755.172151201
"0.35",242055.543824666,164541.084158343,110068.048677619
"0.355",230136.269399644,158083.138837053,107795.639999899
"0.36",197072.493319887,146093.417473627,104145.814545406
"0.365",158380.558132845,131837.199107886,103437.710990288
"0.37",183898.46397874,133459.073095652,99189.1771326162
"0.375",166261.181892543,132980.272590644,106867.802756039
"0.38",176010.948370545,136663.005275087,106639.866853045
"0.385",189095.451175959,143394.214500285,110017.017869555
"0.39",197828.323246384,138660.488061555,117834.833772068
"0.395",205048.831622631,135104.733230954,112776.935477335
"0.4",250525.278751644,132818.604886781,113964.562597867
"0.405",210582.750076025,132105.40473948,118555.760057942
"0.41",202390.912667976,149374.258814347,110949.177299697
"0.415",194745.395737913,162680.043687637,112355.970656582
"0.42",219923.233079621,164979.096025337,112902.72594529
"0.425",250880.756727663,159200.982824049,113344.724591032
"0.43",215864.046593046,148244.259930634,113077.489780869
"0.435",185594.505250093,148088.010564322,110189.646156888
"0.44",180879.22501519,145310.758972945,110424.849669037
"0.445",186324.012329113,147709.828493313,114579.505536211
"0.45",180467.378820809,147099.078632639,116040.011910236
"0.455",180905.630544529,148933.880976326,118288.044213874
"0.46",200060.820848008,145757.206012248,119151.013006069
"0.465",239990.170134526,145436.447091412,114292.444893587
"0.47",207861.61268936,145458.636529867,107962.623735322
"0.475",234682.868938151,142516.633991002,108914.737911784
"0.48",241846.16192751,143315.648576779,115185.859342525
"0.485",261258.20049305,145184.479857176,121188.8635234
"0.49",267076.970522425,150657.202671963,120247.037735846
"0.495",263021.251023722,143589.617687885,117000.110070792
"0.5",259728.901226081,145830.871737041,115482.001446528
"0.505",262432.682794049,153721.023692817,117557.317987721
"0.51",239579.393753463,152990.057124319,119051.485173311
"0.515",226156.907072795,156486.065573505,121218.054123428
"0.52",234818.959064837,154382.296433976,122904.873797819
"0.525",255187.71619888,153227.847390144,125412.465196692
"0.53",252990.573805099,156780.041598247,127596.574653475
"0.535",256190.6568054,162073.959685996,128411.682847021
"0.54",262099.744281773,164618.688777952,126179.81489202
"0.545",266564.496733464,166132.383566346,131484.904558866
"0.55",271996.815328466,164650.154534297,127195.897432585
"0.555",273599.579155311,172909.349313488,129717.109236472
"0.56",279898.521423339,176989.599907627,123840.803760408
"0.565",288157.759565064,181531.015783492,127250.408502729
"0.57",309987.9314113,187167.740143398,130984.146954247
"0.575",312948.952290623,190614.236081993,125064.438379949
"0.58",317437.277550511,189556.36370782,126177.562569784
"0.585",286071.442010811,192394.458869114,137987.850235685
"0.59",303707.223204999,199018.00464227,139938.844178149
"0.595",284019.473750641,197500.71026352,141934.156958036
"0.6",279541.371440503,199830.391866648,133178.589904012
"0.605",265283.283566385,196706.398334274,134031.708152323
"0.61",262081.822958613,206235.850509965,135112.189532029
"0.615",269621.692714207,214687.743753665,130634.027220211
"0.62",270326.47036893,215957.783352932,137347.597650589
"0.625",272343.799702083,216994.405333656,139323.992908175
"0.63",285196.532797634,234086.463594705,143395.249124056
"0.635",299225.466063413,239801.384686704,145349.765592484
"0.64",302860.188655352,244313.091335731,145512.459704933
"0.645",302384.072876904,265939.915100411,151120.74114389
"0.65",306358.95467825,255036.446906528,149095.416338358
"0.655",307665.7130727,261103.230255299,147621.079683864
"0.66",323252.585873526,266827.369419111,146709.997153046
"0.665",327947.851955474,272828.220563526,147627.062719139
"0.67",332496.33710335,273431.603095759,155468.100379479
"0.675",316780.614351303,272138.62810709,168206.86486307
"0.68",319635.139615142,270536.691806364,173776.838502665
"0.685",310109.672256944,272194.396864263,178732.015590666
"0.69",326527.773821036,275314.673379853,182497.069892522
"0.695",312229.039788447,287112.385290033,180075.544565268
"0.7",364941.584494341,268181.089956151,185313.956924269
