"","2","3","4"
"0.005",0.00498023361573006,0.00378451872934687,0.00356918164632792
"0.01",0.00476961388412399,0.00388718943147142,0.00370473903247735
"0.015",0.00486097225387467,0.00406666174908684,0.00398130172667823
"0.02",0.00542870643843753,0.00452906461375378,0.00427779205177822
"0.025",0.00578492503235613,0.00502128121141128,0.00524959368442306
"0.03",0.00627398663021232,0.00590925848346515,0.00586417888875731
"0.035",0.00665069179624958,0.00739998499921988,0.00842900941132754
"0.04",0.0073421424574585,0.0104050343641752,0.0109777265564206
"0.045",0.00822626850413363,8.26824048839844,7771.90493625572
"0.05",0.00974298752389658,105.272859514711,24920.0186544791
"0.055",0.0127401744464054,2.14246831894978,21359.4127132712
"0.06",0.0162085274743426,25684.0569859253,34298.4840820356
"0.065",0.0225957854451997,28709.1519909182,35291.1851298959
"0.07",0.111216143351572,32961.8944725425,38193.1200729567
"0.075",34697.5496993789,43990.4396631004,34907.5908398368
"0.08",102.242928329217,44159.0742129985,46062.5907317958
"0.085",22787.1374641961,57251.0398210163,55787.7881853593
"0.09",22945.1994055517,59901.5167131066,52342.6757816346
"0.095",37410.0225748747,76443.1407584214,57206.3391134704
"0.1",61972.6001322239,74553.0166555229,59404.5420421009
"0.105",30031.6564388995,79431.3374089376,63031.5185182053
"0.11",31465.0469535371,94884.9243459584,64010.7108747297
"0.115",34302.2113605944,97380.8581075784,67729.7876993485
"0.12",60768.4390364388,118808.739770818,83041.1149233418
"0.125",54516.5652603569,114193.567897837,78789.3840675145
"0.13",41459.2617405192,122584.02156742,79055.6816738316
"0.135",49979.9079507866,126833.069286398,84158.1344489134
"0.14",57732.4910676611,138390.656970282,77995.1497995365
"0.145",62458.0928940993,146921.019872446,86272.9049803977
"0.15",99121.734708004,143501.312567396,92271.3792840448
"0.155",127432.50955365,140593.155288923,99900.6558302642
"0.16",183985.241057162,143871.881087282,88271.9996394832
"0.165",126611.589402151,136694.926666587,89126.7323549902
"0.17",127478.726277734,144686.586281649,89855.3651662535
"0.175",168716.34263087,154479.842097053,89600.0580985369
"0.18",169168.802263244,120521.857436849,88510.6384465744
"0.185",159503.121700175,107941.514721401,85439.3892112543
"0.19",157676.760767543,109978.394776664,84239.7261108853
"0.195",154909.9283543,119829.261665752,97694.6421456318
"0.2",172615.449490279,142002.522804195,107042.539773835
"0.205",177557.961915242,120994.940218696,82561.2918271696
"0.21",151420.968970602,125460.355133449,89191.2749816551
"0.215",147043.878929579,131438.75953087,98857.6959088361
"0.22",165449.678077257,138376.901831314,99435.7333362683
"0.225",188213.374092221,141907.60814596,107586.916930078
"0.23",186462.128931321,180426.350767609,122150.178938017
"0.235",239897.348542976,153910.441670353,134880.731834188
"0.24",244709.447833625,165755.211534199,115791.305740843
"0.245",222446.267310762,173341.602270645,145323.603392049
"0.25",224454.989727721,165142.868575605,150737.192291727
"0.255",268095.23871805,162172.990545254,155115.510415271
"0.26",276498.82759662,159848.212206959,112938.781923824
"0.265",274183.910894654,171350.977096813,111938.59111189
"0.27",251021.606783364,186113.31554822,139880.826683055
"0.275",261228.414333699,211931.957154849,148526.772620794
"0.28",259764.722871236,209680.170552217,162859.316392667
"0.285",219388.482895702,208320.286613944,164635.483097087
"0.29",214194.207278683,200688.195295769,164287.594605587
"0.295",253128.936895704,175176.713702547,164893.497330357
"0.3",263980.252499482,215848.582659318,154079.745490346
"0.305",287330.279100827,222268.038979763,149000.189303585
"0.31",261809.493305353,224369.587821932,150546.419851314
"0.315",308429.215116713,218571.972908598,156681.300870477
"0.32",309568.092759912,196228.661168237,162175.47326028
"0.325",315657.925044055,240104.075392793,168459.420574486
"0.33",323881.531811315,203484.636092529,174158.544473695
"0.335",291755.207858016,227631.615084629,176754.092387676
"0.34",319804.44807892,216816.911141802,178317.085112916
"0.345",327550.864999663,223324.899949801,180919.323522819
"0.35",290465.655454689,227939.074677678,183320.985007373
"0.355",319674.781875454,226545.196169877,176884.119441197
"0.36",315649.219521673,239177.910260632,173535.006134056
"0.365",284834.884509916,249127.832668356,182641.444880195
"0.37",280626.278388492,251300.860004507,183516.809861088
"0.375",394853.741968536,275689.882816018,180057.248895803
"0.38",350701.778483456,282679.294837254,186378.131101912
"0.385",303314.954746062,277364.969622801,192761.302696392
"0.39",313703.401961937,264789.868475652,167527.886656695
"0.395",317350.645522807,199720.047360079,157564.446957487
"0.4",280114.975365848,255484.128153843,130876.022304433
"0.405",254533.134542131,193009.162821793,127694.333917876
"0.41",259866.039562124,186757.067271374,133476.804741788
"0.415",252254.941525378,188276.717123212,127937.107810321
"0.42",272808.237516921,248852.966988948,134266.582385542
"0.425",275493.700635184,193539.88402379,128614.950388494
"0.43",338493.160894613,257765.341879074,128960.190152018
"0.435",346616.348260068,261422.846226506,126889.35920759
"0.44",384191.985363526,263917.735784036,130061.419191092
"0.445",475861.068831013,227430.22854234,132596.614805635
"0.45",348966.360830354,210346.46042962,131235.398922977
"0.455",375542.787680464,199042.873758187,131238.97953611
"0.46",490988.809846612,197883.918465536,131432.570151845
"0.465",472083.547083552,220974.461503097,162014.959422187
"0.47",418554.976804982,206816.819207452,153566.292781135
"0.475",367180.855243268,218303.171128959,152026.383398682
"0.48",362000.287633512,222827.918705508,150042.073149487
"0.485",362458.951105105,229937.043227368,156978.346452237
"0.49",365123.735945639,246825.533141796,155876.196700452
"0.495",369573.621104561,246781.31328083,156381.377927742
"0.5",368410.783430984,249599.125903031,172501.25066139
"0.505",286912.630132192,243847.481898187,173646.775766401
"0.51",306413.083722102,237623.498409776,179448.446021046
