"","2","3","4"
"0.005",0.00470390784915545,0.00395819332945926,0.00354882234436383
"0.01",0.00496164516825984,0.00421901256414032,0.00377979856992399
"0.015",0.005225308766733,0.00448297840569615,0.00407230788417079
"0.02",0.00547221911348792,0.00478812289509062,0.00442837831656929
"0.025",0.00571792147900705,0.00514043933317535,0.00484505941523727
"0.03",0.00607147037497535,0.00555514598818113,0.00540276253530476
"0.035",0.00644342422025815,0.00603827609718405,0.00597801439053844
"0.04",0.00699370068373774,0.00673988678125438,0.00703615184091008
"0.045",0.00752917742403254,0.00751197009032126,0.00888877997143519
"0.05",0.00827360644005739,0.00876953754150028,0.0133424252015562
"0.055",0.00907236281264527,0.0107443506597966,0.411524305168884
"0.06",0.0101340027486225,0.0152294007528226,4322.2010614178
"0.065",0.0112920238008249,0.0337996771667736,13368.5769285981
"0.07",0.0129743007065769,1059.43117776584,22361.1932924039
"0.075",0.0151224026721261,7271.32151065661,30007.8415572063
"0.08",0.0182579291858767,15566.800490559,37453.8696388065
"0.085",0.0263313552040081,23651.196653278,43238.7903794338
"0.09",0.0527907024865663,32432.8363723262,48559.1182303031
"0.095",50.4116120374695,41624.121287622,54995.1332054409
"0.1",3366.93550981342,51477.376736669,61297.5789693284
"0.105",10580.489908217,58618.2127245111,64933.3100360936
"0.11",22805.1252596958,68104.3217239409,68127.5600343643
"0.115",31947.950181739,73338.0262071456,71436.2244067098
"0.12",44010.3866316128,77463.3921914848,74623.5128411303
"0.125",53903.6038667702,83137.1309911231,77794.8126050855
"0.13",61750.9466127404,89461.9503930229,79988.7180108251
"0.135",68925.0445201107,96091.1536459023,82622.419320768
"0.14",80523.8319510822,98922.7191449283,84548.5255376185
"0.145",88389.0412202145,105158.652823422,85752.4771385378
"0.15",94770.7866766935,108542.005515676,88359.1830891346
"0.155",105250.544514181,113730.721100918,90064.2897580678
"0.16",115410.33769986,117195.932584729,92087.9429388623
"0.165",119127.790997141,121030.169802207,95008.4628654603
"0.17",131537.482716551,125830.866889233,97175.9500709026
"0.175",139045.002786303,127236.526444188,98831.3059197428
"0.18",148769.900432763,133021.153687537,99444.9557232987
"0.185",154094.640047227,134764.049003814,100238.637859699
"0.19",160286.583032173,137233.634214731,100918.97847803
"0.195",165639.108592083,138564.11049417,102958.928359231
"0.2",170965.747249095,144525.397551608,104059.949043816
"0.205",176598.024837027,146914.226013774,105660.061549073
"0.21",184940.372062563,151319.863224291,107788.93869933
"0.215",188891.224169133,153721.78291911,109542.041201702
"0.22",196852.005474545,158215.430703982,112282.392967451
"0.225",198377.878987664,160151.447013766,113975.89545881
"0.23",206904.47209501,163418.356907332,114941.766951447
"0.235",215816.404640662,166871.309609695,117477.59894819
"0.24",234719.255134029,172437.057234965,119415.855821108
"0.245",239380.044818077,174512.200743501,120247.9602057
"0.25",248458.552293712,177384.202452152,122200.69703244
"0.255",253990.927821508,182024.012332022,125653.098918697
"0.26",253439.67710281,183412.986643585,125390.067646692
"0.265",270920.954159803,184753.336712684,126858.774934553
"0.27",277910.621866078,187710.605364303,129721.913658985
"0.275",278404.878434128,193297.00259823,129681.040403794
"0.28",288167.021065014,196126.431905784,131853.10261637
"0.285",282981.708779094,199856.572944159,133298.745998703
"0.29",296718.011584516,202655.795412262,135466.256791093
"0.295",310427.122250564,203695.222687137,136230.232542555
"0.3",308911.227448349,205503.113870914,137542.846201693
"0.305",316608.096166525,207839.899118746,138784.476701485
"0.31",328157.816505894,212516.626977511,140066.993203867
"0.315",334557.4378116,216247.217219917,142051.038329565
"0.32",331394.74734823,217080.16525934,144387.575890966
"0.325",334590.302466177,217919.133649186,146051.977053776
"0.33",337094.095772269,221458.929475762,147217.498750199
"0.335",339858.234958373,223968.697703234,149192.054455822
"0.34",341856.717658591,225213.352263677,150510.201488211
"0.345",354965.357567455,224721.309565252,150330.471104175
"0.35",362478.180406192,230742.331776615,153881.555862896
"0.355",370789.628810469,234069.242223134,155038.536816675
"0.36",379868.505424562,236700.635948615,157965.87471809
"0.365",376435.752055218,237568.493734563,158685.465049121
"0.37",381353.06429118,240401.624069748,160642.065670279
"0.375",388047.339948981,245831.113874345,163285.738830743
"0.38",390346.925260256,249289.797188159,164863.71008181
"0.385",396927.810127262,251569.542790661,167842.302177604
"0.39",397823.214063622,253152.67005766,168452.158770237
"0.395",412501.911057144,254427.962747846,169078.855988525
"0.4",418703.361037326,258995.268202752,169880.014589985
"0.405",418453.473831563,257078.599242804,168800.38703915
"0.41",424928.472072206,256268.900208541,170072.236693924
"0.415",423972.143795824,261289.313902807,172064.655433884
"0.42",428441.900787382,263997.8934367,172877.563503294
"0.425",439787.97233732,269828.401412169,174098.771508724
"0.43",441608.64680973,273366.529340171,176668.786536266
"0.435",447831.43215887,273532.764033614,178032.727865915
"0.44",448451.207022812,276990.03936281,180981.200935611
"0.445",470478.877939251,278312.834186521,183472.549378778
"0.45",482939.96184655,279082.381001325,184244.412373986
"0.455",485935.839708859,279106.254104592,185597.23301667
"0.46",481439.712070004,281293.486048731,185271.867733327
"0.465",480352.891694964,282589.602645335,186919.685357513
"0.47",482773.882620913,286604.556132073,187118.644231711
