,1,2,3,4
0.89,20.20059005,23.04450289,25.73662536,28.8382302
0.895,20.27295782,23.15135695,25.85656744,29.0183359
0.9,20.35210904,23.24805135,26.01788491,29.16854573
0.905,20.46078051,23.38115729,26.16127838,29.31055317
0.91,20.60009253,23.51567982,26.2753456,29.4708381
0.915,20.71121398,23.65132288,26.42335671,29.5802031
0.92,20.80780154,23.77597893,26.54872389,29.73169802
0.925,20.89875823,23.90157178,26.63699028,29.87370337
0.93,21.02456343,24.01812283,26.74756338,30.02605298
0.935,21.12294507,24.1492259,26.88203206,30.16289742
0.94,21.22524436,24.30408085,27.02389437,30.32135943
0.945,21.36031004,24.42387677,27.16141429,30.43358719
0.95,21.46550639,24.54371683,27.3201133,30.56681475
0.955,21.5630854,24.66731106,27.48856707,30.70226909
0.96,21.64699006,24.80841794,27.64723872,30.87612365
0.965,21.76749877,24.94048145,27.79228879,31.06592825
0.97,21.86565805,25.053349,27.91769588,31.22018967
0.975,21.98201227,25.19142665,28.05359017,31.37130367
0.98,22.10634387,25.31527813,28.20327805,31.50767369
0.985,22.20114451,25.46056778,28.32749038,31.69620005
0.99,22.31632165,25.5870468,28.47544281,31.85791295
