,1,2,3,4
0.575,35.38992284,180319172.4,152600918.9,108504896
0.58,36.35336266,185217494.9,154756227.4,109266806
0.585,36.9640041,187382939.7,156211209,110067449.1
0.59,37.28986819,187662319.6,158137231.6,110855273.4
0.595,37.24887185,189417828.4,160326034.9,112079980.9
0.6,37.92463793,191856968.4,160848017.9,112741432.5
0.605,38.52511537,194554931.6,162126988.6,113620055
0.61,38.22955775,195493582.4,162580237.4,115342295.1
0.615,38.33613141,195327493.6,164226239.6,116659211.8
0.62,39.02840232,197676443.1,166048152.5,118325372.8
0.625,39.85000326,199865219.9,166764255.8,119470800.8
0.63,40.27704362,204825742.7,168871075,120395506.3
0.635,40.71864109,207514903.5,170652933.5,121210150.5
0.64,41.31680726,209874698.5,172367299.9,122154762
0.645,41.36711273,212100738.7,174343641.5,123210631.4
0.65,41.79268267,215768162.5,174635571.1,124801187
0.655,42.13041599,217043250.5,177460952.7,126365260.1
0.66,42.6537584,217876191.7,178278590.4,126244597.7
0.665,43.25994183,221860258.8,180560587.7,127195569.7
0.67,43.87005944,225730022.7,183955071.6,128459905.5
0.675,44.68096558,227932467,184636429,130487389.8
0.68,45.3797839,229648066.3,186725826.1,131699318.2
0.685,45.733232,229399917,188532777.1,133682293.8
0.69,46.01932523,235396810.3,189834970.1,133843203.4
0.695,46.47984815,237560419.2,191156661.5,135332442.7
0.7,47.2857603,240349171.9,192745907.8,137007785
0.705,47.32891186,240593864.5,194055823,138198967.6
0.71,47.56006721,240100427.4,195121339.3,139365552.6
0.715,47.93914897,241159509.6,196238772.1,140215108.7
0.72,48.83941961,241126930.6,197540942.4,141432975.9
0.725,49.39469261,244989156.5,199499971.9,143328566.5
0.73,49.17825906,247246842.2,201326672.4,144006129.7
0.735,50.21837502,250018571.4,203447559.9,144984982.1
0.74,51.17363969,251618340.7,202635702.5,145566945.6
0.745,51.9440429,253362220,203634023.2,146205553.8
0.75,52.26028497,258047508.2,207713017.1,147293976.4
0.755,53.12760308,260048851.5,208613763.2,148869684.3
0.76,53.12521688,262117031.6,210286002.7,150000748.7
0.765,53.5148687,266382216.1,212627425.8,151621636.1
0.77,53.48195594,265895761.4,214112717.3,152514608.9
0.775,53.68294966,268152420.3,215846757.4,153444462
0.78,54.31618417,268216210.7,217102517.5,154264845.9
0.785,54.67741899,270193024.8,218860395.5,155908799.3
0.79,54.79249162,274009360.3,220424126.7,157575273.5
0.795,55.0315185,276095812.1,222403896.1,158228349.4
0.8,55.67294277,279751877.9,223838455.5,160190653.7
0.805,56.16303728,284303123.5,225429888.3,161257627.2
0.81,57.29596051,286662261.8,227236033.3,161646140.5
0.815,58.49197289,286122162,227911709.9,162901620.6
0.82,59.17320605,286110766.8,229553152.6,163418795.2
0.825,58.61451178,287911434.5,231980234.8,164725606.6
0.83,59.17854446,289111117.6,233398471,167172082
